mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Player
-0.692,0.6561,-1.9124,0.5175,0.0068,0.0117,9490.9016,3422.2457,1.0,Allen Wu
-1.1471,0.7822,-2.5873,0.3127,0.009,0.0129,7608.4095,3237.8376,1.0007,Nick Carlson
-0.2687,0.6778,-1.5873,0.9773,0.007,0.0121,9331.8008,3037.2463,0.9999,Eliott Boussaud
-1.0328,0.742,-2.3555,0.414,0.0069,0.0146,11618.1872,2956.8557,1.0012,Nathan Goldberg
1.5311,0.6238,0.3923,2.7053,0.0063,0.0113,9745.0034,2988.5818,1.0011,Seth Manfield
-0.0112,0.7113,-1.2578,1.3947,0.0068,0.0146,11255.6333,2711.991,0.9998,Tomonori Hirami
-1.8881,0.6315,-3.092,-0.7143,0.0069,0.0119,8385.2653,2933.9279,1.0015,Nathan Green
1.05,0.5814,-0.0506,2.1232,0.0057,0.0102,10489.3362,2682.1583,1.0011,Zen Miyaji-Thorne
1.411,0.5326,0.3949,2.3932,0.0059,0.009,8207.2317,3202.3438,1.0005,Ben Tudman
-0.5362,0.8621,-2.0701,1.1805,0.0081,0.0155,11278.7219,2979.7655,1.0036,Noé Offman
-0.0846,0.5719,-1.0976,1.0439,0.0053,0.0104,11508.9451,2890.2254,1.002,Makoto Atsuji
-0.0199,0.5611,-1.0379,1.0123,0.0056,0.0104,10201.9752,3027.0681,1.0003,Lucas Duchow
1.3091,0.5985,0.1668,2.4397,0.0065,0.0113,8581.9915,2809.3331,1.0028,Andrei Klepatch
0.1802,0.6923,-1.0911,1.5124,0.0072,0.0122,9304.5426,3055.5984,1.0051,Gabriel Nicholas
1.8193,0.5665,0.7638,2.8767,0.0059,0.0094,9291.7255,3386.6839,0.9998,Daniel Goetschel
0.3648,0.7156,-0.9643,1.7443,0.0071,0.0141,10182.3595,2902.2607,1.0016,Koby Keller
1.451,0.5483,0.3559,2.4135,0.0063,0.01,7567.9503,2954.1251,1.0001,Mikey Bishara
0.3751,0.5367,-0.6011,1.4282,0.0053,0.0096,10131.5123,2898.3056,1.0003,Marco Del Pivo
0.4426,0.6416,-0.7072,1.688,0.0063,0.011,10205.0727,3108.1968,1.002,Bernardo Torres
0.1979,0.7424,-1.1255,1.6497,0.0072,0.013,10496.7109,3335.5711,0.9999,Maximilian Höglund
0.6651,0.5509,-0.3967,1.6475,0.0054,0.0104,10262.1402,2644.6789,0.9996,Andrew Jessup
-0.8458,0.6846,-2.1572,0.3941,0.007,0.013,9726.363,2905.096,1.0006,Yiren Jiang
-0.6944,0.6539,-1.8974,0.5763,0.0065,0.0112,10094.8507,2886.4947,1.0016,Daniel Staup
0.8778,0.5426,-0.1136,1.9003,0.0057,0.0107,9068.695,2590.9502,1.003,John Shindledecker
0.3863,0.508,-0.551,1.3478,0.005,0.0108,10253.5621,2769.662,1.0025,Shota Yasooka
0.163,0.7353,-1.1933,1.541,0.0081,0.0158,8215.0998,3005.8394,1.0029,André Faustino
-1.0982,0.7455,-2.4355,0.3823,0.0073,0.0136,10537.731,2695.5649,1.0002,Jacob Mitchell-Rabaey
0.818,0.5976,-0.2273,2.0172,0.0064,0.0099,8819.2626,3166.911,1.0007,Ryan Waligora
-0.0022,0.5628,-1.0489,1.0422,0.0062,0.0099,8298.3891,2821.8201,1.0018,Matias Leveratto
-0.64,0.7094,-1.9738,0.6813,0.0071,0.0117,9944.411,3179.2578,1.0016,David Dufour
0.1389,0.5355,-0.852,1.1654,0.0054,0.0097,9794.0157,3041.982,1.0005,Minh Nguyen
0.4105,0.6074,-0.7429,1.5714,0.0066,0.0095,7923.5036,3289.2184,1.0019,Alexander Kans
0.212,0.5386,-0.7952,1.2157,0.0055,0.0106,9642.2713,2670.0007,1.0026,Owen Hays
-0.2317,0.6691,-1.4583,1.0225,0.0074,0.011,8248.1363,3340.4442,0.9998,Raja Sulaiman
1.8406,0.602,0.7141,2.9505,0.0057,0.0108,11043.0398,3294.8747,1.0,Zevin Faust
0.0296,0.5514,-0.9381,1.1221,0.0057,0.0112,9407.1655,2900.6021,1.0018,Toru Inoue
-0.2411,0.6525,-1.4205,0.9651,0.0065,0.0135,10128.6407,2397.7022,1.0008,Lorenzo Pollone
0.6344,0.5682,-0.4959,1.632,0.006,0.0104,8871.7019,3144.391,1.0001,Rei Zhang
-0.8452,0.8021,-2.3172,0.6751,0.0081,0.0138,9793.2538,2796.7264,1.0,Mateo Ferreira
-1.2257,0.7226,-2.6378,0.0596,0.0078,0.014,8610.3955,3079.5149,1.0005,Phil Li
1.3051,0.5516,0.2268,2.2825,0.006,0.0085,8354.5964,3249.3944,0.9997,Noah Rabin
0.5345,0.5363,-0.4607,1.5464,0.0058,0.0109,8434.0158,2662.9738,1.0029,Peter Greig
-1.3779,0.7085,-2.683,-0.0741,0.0068,0.0126,10866.8986,2885.9782,1.0024,Ben Stark
1.0691,0.5174,0.0926,2.0435,0.0057,0.0094,8333.0881,3141.7411,1.0015,Maxime Rayvich
0.5332,0.5446,-0.5039,1.5128,0.005,0.0107,11836.7568,2645.1606,0.9999,Thomas Sardanelli
-1.1809,0.7296,-2.5548,0.1644,0.0073,0.0132,10133.7539,2822.231,1.0003,Alejandro Morales
0.131,0.5369,-0.855,1.125,0.0052,0.011,10463.5811,3084.5226,1.0046,Charles Wong
-0.025,0.7383,-1.4015,1.3706,0.0078,0.014,8909.8964,2916.3837,1.0004,Jody Keith
-0.2114,0.6877,-1.4608,1.1338,0.0072,0.013,9087.2733,2692.2929,1.0009,Justin Parente
